 ;" ";"Živorojeni - moški";"Živorojeni - ženske";"Umrli - moški";"Umrli - ženske";"Naravni prirast - moški";"Naravni prirast - ženske"
2005
 ;"Žirovnica";21;21;19;17;2;4
 ;"Žužemberk";22;25;27;25;-5;0
2007
 ;"Ajdovšèina";100;95;79;78;21;17
 ;"Apaèe";16;11;18;13;-2;-2
 ;"Beltinci";33;48;39;47;-6;1
 ;"Benedikt";11;15;13;6;-2;9
 ;"Bistrica ob Sotli";4;7;12;11;-8;-4
 ;"Bled";45;34;47;50;-2;-16
 ;"Bloke";10;6;5;9;5;-3
 ;"Bohinj";24;26;32;32;-8;-6
 ;"Borovnica";19;21;16;18;3;3
 ;"Bovec";9;17;20;16;-11;1
 ;"Braslovèe";21;24;21;16;0;8
 ;"Brda";28;28;43;34;-15;-6
 ;"Brezovica";52;57;32;31;20;26
 ;"Brežice";84;95;157;117;-73;-22
 ;"Cankova";4;5;18;7;-14;-2
 ;"Celje";228;251;228;225;0;26
 ;"Cerklje na Gorenjskem";43;29;38;27;5;2
 ;"Cerknica";63;52;59;52;4;0
 ;"Cerkno";21;30;25;26;-4;4
 ;"Cerkvenjak";3;10;11;6;-8;4
 ;"Cirkulane";15;11;12;11;3;0
 ;"Èrenšovci";21;21;25;29;-4;-8
 ;"Èrna na Koroškem";13;14;21;18;-8;-4
 ;"Èrnomelj";87;71;83;86;4;-15
 ;"Destrnik";15;18;17;15;-2;3
 ;"Divaèa";15;8;27;14;-12;-6
 ;"Dobje";2;5;6;7;-4;-2
 ;"Dobrepolje";24;14;26;30;-2;-16
 ;"Dobrna";14;5;10;10;4;-5
 ;"Dobrova - Polhov Gradec";49;36;27;25;22;11
 ;"Dobrovnik/Dobronak";3;8;7;5;-4;3
 ;"Dol pri Ljubljani";47;18;14;15;33;3
 ;"Dolenjske Toplice";17;14;22;18;-5;-4
 ;"Domžale";204;194;129;117;75;77
 ;"Dornava";14;16;9;13;5;3
 ;"Dravograd";46;56;38;35;8;21
 ;"Duplek";23;26;37;21;-14;5
 ;"Gorenja vas - Poljane";54;53;34;35;20;18
 ;"Gorišnica";20;19;13;12;7;7
 ;"Gorje";18;8;12;14;6;-6
 ;"Gornja Radgona";37;28;49;40;-12;-12
 ;"Gornji Grad";18;13;11;13;7;0
 ;"Gornji Petrovci";11;9;11;19;0;-10
 ;"Grad";5;8;17;8;-12;0
 ;"Grosuplje";122;117;74;50;48;67
 ;"Hajdina";16;19;23;16;-7;3
 ;"Hoèe - Slivnica";42;26;52;44;-10;-18
 ;"Hodoš/Hodos";0;1;4;3;-4;-2
 ;"Horjul";17;18;9;11;8;7
 ;"Hrastnik";48;52;50;47;-2;5
 ;"Hrpelje - Kozina";12;15;28;22;-16;-7
 ;"Idrija";57;58;68;65;-11;-7
 ;"Ig";33;38;24;15;9;23
 ;"Ilirska Bistrica";66;51;82;81;-16;-30
 ;"Ivanèna Gorica";80;80;41;58;39;22
 ;"Izola/Isola";86;76;74;57;12;19
 ;"Jesenice";118;106;95;110;23;-4
 ;"Jezersko";3;2;5;4;-2;-2
 ;"Juršinci";14;14;11;13;3;1
 ;"Kamnik";183;147;114;97;69;50
 ;"Kanal";30;20;45;36;-15;-16
 ;"Kidrièevo";28;27;26;34;2;-7
 ;"Kobarid";13;15;30;25;-17;-10
 ;"Kobilje";4;0;5;5;-1;-5
 ;"Koèevje";88;71;85;83;3;-12
 ;"Komen";19;17;22;19;-3;-2
 ;"Komenda";32;45;19;13;13;32
 ;"Koper/Capodistria";248;232;252;211;-4;21
 ;"Kostanjevica na Krki";4;11;8;11;-4;0
 ;"Kostel";6;4;7;8;-1;-4
 ;"Kozje";10;16;23;18;-13;-2
 ;"Kranj";284;276;202;233;82;43
 ;"Kranjska Gora";31;31;26;27;5;4
 ;"Križevci";11;16;16;21;-5;-5
 ;"Krško";138;114;134;140;4;-26
 ;"Kungota";23;25;27;20;-4;5
 ;"Kuzma";11;12;11;13;0;-1
 ;"Laško";57;90;88;62;-31;28
 ;"Lenart";44;30;40;30;4;0
 ;"Lendava/Lendva";44;34;58;64;-14;-30
 ;"Litija";80;76;65;62;15;14
 ;"Ljubljana";1380;1284;1087;1183;293;101
 ;"Ljubno";15;8;16;23;-1;-15
 ;"Ljutomer";41;53;63;84;-22;-31
 ;"Log - Dragomer";18;24;10;15;8;9
 ;"Logatec";82;95;44;44;38;51
 ;"Loška dolina";25;17;24;30;1;-13
 ;"Loški Potok";9;13;11;16;-2;-3
 ;"Lovrenc na Pohorju";15;11;13;12;2;-1
 ;"Luèe";6;8;11;7;-5;1
 ;"Lukovica";33;33;15;16;18;17
 ;"Majšperk";21;15;25;19;-4;-4
 ;"Makole";5;7;10;10;-5;-3
 ;"Maribor";413;415;611;562;-198;-147
 ;"Markovci";17;23;15;12;2;11
 ;"Medvode";89;67;63;53;26;14
 ;"Mengeš";41;37;16;24;25;13
 ;"Metlika";36;47;52;52;-16;-5
 ;"Mežica";15;17;29;17;-14;0
 ;"Miklavž na Dravskem polju";24;19;20;29;4;-10
 ;"Miren - Kostanjevica";25;17;15;24;10;-7
 ;"Mirna";-;-;-;-;-;-
 ;"Mirna Peè";19;15;12;10;7;5
 ;"Mislinja";18;24;18;22;0;2
 ;"Mokronog - Trebelno";17;17;16;14;1;3
 ;"Moravèe";32;31;19;25;13;6
 ;"Moravske Toplice";24;19;40;43;-16;-24
 ;"Mozirje";16;23;13;20;3;3
 ;"Murska Sobota";95;77;81;84;14;-7
 ;"Muta";13;15;15;12;-2;3
 ;"Naklo";26;39;23;15;3;24
 ;"Nazarje";8;11;8;6;0;5
 ;"Nova Gorica";180;140;140;136;40;4
 ;"Novo mesto";188;208;161;135;27;73
 ;"Odranci";8;8;5;10;3;-2
 ;"Oplotnica";17;16;19;18;-2;-2
 ;"Ormož";52;47;79;65;-27;-18
 ;"Osilnica";0;0;7;2;-7;-2
 ;"Pesnica";29;21;45;37;-16;-16
 ;"Piran/Pirano";69;81;76;74;-7;7
 ;"Pivka";34;28;32;35;2;-7
 ;"Podèetrtek";21;16;21;24;0;-8
 ;"Podlehnik";6;11;18;12;-12;-1
 ;"Podvelka";13;16;9;9;4;7
 ;"Poljèane";22;16;16;19;6;-3
 ;"Polzela";26;31;19;25;7;6
 ;"Postojna";91;64;71;66;20;-2
 ;"Prebold";16;16;21;19;-5;-3
 ;"Preddvor";18;22;15;15;3;7
 ;"Prevalje";27;33;24;34;3;-1
 ;"Ptuj";109;105;120;108;-11;-3
 ;"Puconci";33;23;35;34;-2;-11
 ;"Raèe - Fram";21;30;31;30;-10;0
 ;"Radeèe";16;24;27;19;-11;5
 ;"Radenci";23;18;28;37;-5;-19
 ;"Radlje ob Dravi";37;20;37;26;0;-6
 ;"Radovljica";100;103;99;79;1;24
